"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"90" ,"" ,"UTC 11/01/2014 07:28:54.416","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"91" ,"" ,"UTC 11/01/2014 07:29:07.720","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54100, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"92" ,"" ,"UTC 11/01/2014 07:29:21.704","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"195.38.126.219, 2272, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"93" ,"" ,"UTC 11/01/2014 07:29:30.752","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"195.38.126.219, 2272, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"94" ,"" ,"UTC 11/01/2014 07:29:57.288","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"124.176.158.241, 25298, X1"                                 ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"95" ,"" ,"UTC 11/01/2014 07:29:57.624","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1281, X0"                       ,"Port:  1281"                                                      ,""
"96" ,"" ,"UTC 11/01/2014 07:29:57.624","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"97" ,"" ,"UTC 11/01/2014 07:30:04.784","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.3.212, 68, X0"                                       ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"98" ,"" ,"UTC 11/01/2014 07:30:10.432","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56667, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"99" ,"" ,"UTC 11/01/2014 07:30:58.096","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"147.30.160.182, 1031, X1"                                   ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"100","" ,"UTC 11/01/2014 07:30:58.176","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1293, X0"                       ,"Port:  1293"                                                      ,""
"101","" ,"UTC 11/01/2014 07:31:04.704","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"195.38.126.219, 2372, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"102","" ,"UTC 11/01/2014 07:31:05.016","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"103","" ,"UTC 11/01/2014 07:31:08.912","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"104","" ,"UTC 11/01/2014 07:31:17.528","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54134, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"105","" ,"UTC 11/01/2014 07:31:58.240","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"92.46.218.169, 24515, X1"                                   ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"106","" ,"UTC 11/01/2014 07:31:58.560","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1301, X0"                       ,"Port:  1301"                                                      ,""
"107","" ,"UTC 11/01/2014 07:32:06.192","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"95.83.190.176, 54142, X1"                                   ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                      ,""
"108","" ,"UTC 11/01/2014 07:32:10.816","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"109","" ,"UTC 11/01/2014 07:32:10.912","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"110","" ,"UTC 11/01/2014 07:32:25.448","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56785, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"111","" ,"UTC 11/01/2014 07:33:06.416","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"95.31.89.84, 55000, X1"                                     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"112","" ,"UTC 11/01/2014 07:33:06.688","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1313, X0"                       ,"Port:  1313"                                                      ,""
