"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"74" ,"" ,"UTC 11/01/2014 07:52:26.480","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"75" ,"" ,"UTC 11/01/2014 07:52:54.384","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1489, X0"                       ,"Port:  1489"                                                                                                             ,""
"76" ,"" ,"UTC 11/01/2014 07:53:02.704","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54544, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"77" ,"" ,"UTC 11/01/2014 07:53:07.944","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.87.9.196, 20637, X1, 196.9.87.109.triolan.net"                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"78" ,"" ,"UTC 11/01/2014 07:53:21.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"79" ,"" ,"UTC 11/01/2014 07:53:54.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1501, X0"                       ,"Port:  1501"                                                                                                             ,""
"80" ,"" ,"UTC 11/01/2014 07:54:02.704","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54564, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"81" ,"" ,"UTC 11/01/2014 07:54:12.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"72.191.23.86, 11174, X1"                                             ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"82" ,"" ,"UTC 11/01/2014 07:54:28.832","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"83" ,"" ,"UTC 11/01/2014 07:54:39.032","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"84" ,"" ,"UTC 11/01/2014 07:54:58.768","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1521, X0"                       ,"Port:  1521"                                                                                                             ,""
"85" ,"" ,"UTC 11/01/2014 07:55:02.720","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54581, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"86" ,"" ,"UTC 11/01/2014 07:55:10.400","Notice"  ,"Network Access","UDP packet dropped"                                   ,"70.210.192.120, 2832, X1, 120.sub-70-210-192.myvzw.com"              ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"87" ,"" ,"UTC 11/01/2014 07:55:40.192","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"88" ,"" ,"UTC 11/01/2014 07:55:48.384","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"89" ,"" ,"UTC 11/01/2014 07:56:02.720","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54597, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"90" ,"" ,"UTC 11/01/2014 07:56:06.528","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1540, X0"                       ,"Port:  1540"                                                                                                             ,""
"91" ,"" ,"UTC 11/01/2014 07:56:10.256","Notice"  ,"Network Access","UDP packet dropped"                                   ,"185.9.227.224, 12000, X1"                                            ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"92" ,"" ,"UTC 11/01/2014 07:56:13.448","Info"    ,"Network Access","ICMP packet allowed"                                  ,"31.176.188.135, 0, X1"                                               ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                                                                                                         ,""
"93" ,"" ,"UTC 11/01/2014 07:56:13.640","Notice"  ,"Network Access","TCP connection dropped"                               ,"31.176.188.135, 1491, X1"                                            ,"173.240.220.68, 4899, X1"                    ,"iMesh"                                                                                                                   ,""
"94" ,"" ,"UTC 11/01/2014 07:56:50.464","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"95" ,"" ,"UTC 11/01/2014 07:57:02.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54612, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"96" ,"" ,"UTC 11/01/2014 07:57:10.064","Notice"  ,"Network Access","UDP packet dropped"                                   ,"69.245.232.56, 64816, X1, c-69-245-232-56.hsd1.il.comcast.net"       ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"97" ,"" ,"UTC 11/01/2014 07:57:10.080","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1566, X0"                       ,"Port:  1566"                                                                                                             ,""
"98" ,"" ,"UTC 11/01/2014 07:57:47.160","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.139.251.244, 45854, X1"                                            ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
