"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"107","" ,"UTC 11/01/2014 13:13:08.192","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"108","" ,"UTC 11/01/2014 13:13:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2931, X0"                       ,"Port:  2931"                          ,""
"109","" ,"UTC 11/01/2014 13:13:35.240","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43891, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"110","" ,"UTC 11/01/2014 13:13:46.400","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"111","" ,"UTC 11/01/2014 13:13:53.512","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 50418, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"112","" ,"UTC 11/01/2014 13:14:25.784","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2936, X0"                       ,"Port:  2936"                          ,""
"113","" ,"UTC 11/01/2014 13:14:25.784","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"114","" ,"UTC 11/01/2014 13:14:35.256","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43909, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"115","" ,"UTC 11/01/2014 13:14:48.848","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"116","" ,"UTC 11/01/2014 13:15:35.256","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43924, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"117","" ,"UTC 11/01/2014 13:15:50.256","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2941, X0"                       ,"Port:  2941"                          ,""
"118","" ,"UTC 11/01/2014 13:16:35.272","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43942, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"119","" ,"UTC 11/01/2014 13:16:40.192","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 38075, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"120","" ,"UTC 11/01/2014 13:16:50.288","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2946, X0"                       ,"Port:  2946"                          ,""
