"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"76" ,"" ,"UTC 11/01/2014 13:39:47.560","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"77" ,"" ,"UTC 11/01/2014 13:39:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44325, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"78" ,"" ,"UTC 11/01/2014 13:40:26.720","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"79" ,"" ,"UTC 11/01/2014 13:40:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44339, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"80" ,"" ,"UTC 11/01/2014 13:40:50.464","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 3035, X0"                       ,"Port:  3035"                                                                                                           ,""
"81" ,"" ,"UTC 11/01/2014 13:40:55.112","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 50805, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"82" ,"" ,"UTC 11/01/2014 13:41:12.592","Notice"  ,"Network Access","TCP connection dropped"                               ,"95.105.8.139, 55682, X1, 95.105.8.139.dynamic.ufanet.ru"             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"83" ,"" ,"UTC 11/01/2014 13:41:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44355, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"84" ,"" ,"UTC 11/01/2014 13:41:50.528","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 3044, X0"                       ,"Port:  3044"                                                                                                           ,""
"85" ,"" ,"UTC 11/01/2014 13:42:18.160","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"86" ,"" ,"UTC 11/01/2014 13:42:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44370, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"87" ,"" ,"UTC 11/01/2014 13:43:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 3048, X0"                       ,"Port:  3048"                                                                                                           ,""
"88" ,"" ,"UTC 11/01/2014 13:43:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44384, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"89" ,"" ,"UTC 11/01/2014 13:43:53.224","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"90" ,"" ,"UTC 11/01/2014 13:44:05.800","Notice"  ,"Network Access","UDP packet dropped"                                   ,"67.71.80.248, 24008, X1, ktnron060ww-lp140-03-1128747256.dsl.bell.ca","173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                           ,""
"91" ,"" ,"UTC 11/01/2014 13:44:22.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3052, X0"                       ,"Port:  3052"                                                                                                           ,""
"92" ,"" ,"UTC 11/01/2014 13:44:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44398, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"93" ,"" ,"UTC 11/01/2014 13:45:35.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"67.71.80.248, 24008, X1, ktnron060ww-lp140-03-1128747256.dsl.bell.ca","173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                           ,""
"94" ,"" ,"UTC 11/01/2014 13:45:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44414, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"95" ,"" ,"UTC 11/01/2014 13:45:50.512","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 3057, X0"                       ,"Port:  3057"                                                                                                           ,""
"96" ,"" ,"UTC 11/01/2014 13:45:50.784","Notice"  ,"Network Access","TCP connection dropped"                               ,"91.120.93.87, 53059, X1, r2ur2xpq96.adsl.datanet.hu"                 ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                           ,""
"97" ,"" ,"UTC 11/01/2014 13:46:30.224","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"98" ,"" ,"UTC 11/01/2014 13:46:33.880","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                                    ,""                                            ,"Received reply from NTP server 208.75.88.4. Update system time from 11/01/2014 06:46:33.272 to 11/01/2014 06:46:33.880",""
"99" ,"" ,"UTC 11/01/2014 13:46:42.304","Notice"  ,"Network Access","UDP packet dropped"                                   ,"67.71.80.248, 24008, X1, ktnron060ww-lp140-03-1128747256.dsl.bell.ca","173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                           ,""
"100","" ,"UTC 11/01/2014 13:46:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44431, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"101","" ,"UTC 11/01/2014 13:46:52.576","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"102","" ,"UTC 11/01/2014 13:47:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44447, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"103","" ,"UTC 11/01/2014 13:47:50.752","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 54590, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"104","" ,"UTC 11/01/2014 13:47:51.080","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"105","" ,"UTC 11/01/2014 13:48:07.784","Notice"  ,"Network Access","TCP connection dropped"                               ,"91.120.93.87, 53515, X1, r2ur2xpq96.adsl.datanet.hu"                 ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                           ,""
"106","" ,"UTC 11/01/2014 13:48:18.064","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3068, X0"                       ,"Port:  3068"                                                                                                           ,""
"107","" ,"UTC 11/01/2014 13:48:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44462, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"108","" ,"UTC 11/01/2014 13:48:51.064","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"109","" ,"UTC 11/01/2014 13:48:53.688","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"110","" ,"UTC 11/01/2014 13:49:17.944","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3071, X0"                       ,"Port:  3071"                                                                                                           ,""
"111","" ,"UTC 11/01/2014 13:49:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44478, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"112","" ,"UTC 11/01/2014 13:49:56.688","Notice"  ,"Network Access","TCP connection dropped"                               ,"91.236.75.11, 54952, X1"                                             ,"173.240.220.68, 3128, X1"                    ,"Squid"                                                                                                                 ,""
