No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
11609,79.840412,184.85.100.46,24.6.173.220,TCP,60,"80 > 10977 [FIN, ACK] Seq=1 Ack=2 Win=14600 Len=0",42.3626,-71.0843,37.4404,-121.8705
11610,79.840541,24.6.173.220,184.85.100.46,TCP,54,10977 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,42.3626,-71.0843
11611,79.841405,23.62.228.24,24.6.173.220,TCP,60,"80 > 10986 [FIN, ACK] Seq=1 Ack=2 Win=14600 Len=0",42.3626,-71.0843,37.4404,-121.8705
11612,79.841408,63.215.202.49,24.6.173.220,TCP,60,"80 > 10978 [FIN, ACK] Seq=7484 Ack=1196 Win=8190 Len=0",52.35,4.9167,37.4404,-121.8705
11613,79.841546,24.6.173.220,23.62.228.24,TCP,54,10986 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,42.3626,-71.0843
11614,79.841633,24.6.173.220,63.215.202.49,TCP,54,10978 > 80 [ACK] Seq=1196 Ack=7485 Win=256960 Len=0,37.4404,-121.8705,52.35,4.9167
11615,79.842466,68.142.253.12,24.6.173.220,TCP,60,80 > 10974 [ACK] Seq=1 Ack=2 Win=4376 Len=0,37.4249,-122.0074,37.4404,-121.8705
11616,79.842468,68.142.253.12,24.6.173.220,TCP,60,"80 > 10974 [FIN, ACK] Seq=1 Ack=2 Win=4376 Len=0",37.4249,-122.0074,37.4404,-121.8705
11617,79.842471,68.142.253.31,24.6.173.220,TCP,60,80 > 11001 [ACK] Seq=1 Ack=2 Win=4376 Len=0,37.4249,-122.0074,37.4404,-121.8705
11618,79.842473,68.142.253.31,24.6.173.220,TCP,60,"80 > 11001 [FIN, ACK] Seq=1 Ack=2 Win=4376 Len=0",37.4249,-122.0074,37.4404,-121.8705
11619,79.842475,68.142.253.12,24.6.173.220,TCP,60,80 > 10999 [ACK] Seq=1 Ack=2 Win=4376 Len=0,37.4249,-122.0074,37.4404,-121.8705
11620,79.842477,68.142.253.12,24.6.173.220,TCP,60,"80 > 10999 [FIN, ACK] Seq=1 Ack=2 Win=4376 Len=0",37.4249,-122.0074,37.4404,-121.8705
11621,79.842608,24.6.173.220,68.142.253.12,TCP,54,10974 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,37.4249,-122.0074
11622,79.842663,24.6.173.220,68.142.253.31,TCP,54,11001 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,37.4249,-122.0074
11623,79.842779,24.6.173.220,68.142.253.12,TCP,54,10999 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,37.4249,-122.0074
11624,79.843569,66.94.240.25,24.6.173.220,TCP,271,"80 > 10991 [PSH, ACK] Seq=1 Ack=2 Win=32768 Len=217",37.4249,-122.0074,37.4404,-121.8705
11625,79.843573,66.94.240.25,24.6.173.220,TCP,60,"80 > 10991 [FIN, ACK] Seq=218 Ack=2 Win=32768 Len=0",37.4249,-122.0074,37.4404,-121.8705
11626,79.84375,24.6.173.220,66.94.240.25,TCP,54,"10991 > 80 [RST, ACK] Seq=2 Ack=218 Win=0 Len=0",37.4404,-121.8705,37.4249,-122.0074
11627,79.844562,205.251.215.159,24.6.173.220,TCP,60,"80 > 10981 [FIN, ACK] Seq=1 Ack=2 Win=5888 Len=0",47.6103,-122.3341,37.4404,-121.8705
11628,79.844706,24.6.173.220,205.251.215.159,TCP,54,10981 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,47.6103,-122.3341
11629,79.878109,204.144.141.26,24.6.173.220,TCP,60,80 > 11010 [ACK] Seq=1 Ack=2 Win=4140 Len=0,40.015,-105.2706,37.4404,-121.8705
11630,79.878954,204.144.141.26,24.6.173.220,TCP,60,"80 > 11010 [FIN, ACK] Seq=1 Ack=2 Win=4140 Len=0",40.015,-105.2706,37.4404,-121.8705
11631,79.879094,24.6.173.220,204.144.141.26,TCP,54,11010 > 80 [ACK] Seq=2 Ack=2 Win=66240 Len=0,37.4404,-121.8705,40.015,-105.2706
11632,79.913262,208.71.123.129,24.6.173.220,TCP,60,"80 > 10985 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",40.7517,-73.9972,37.4404,-121.8705
11633,79.913444,24.6.173.220,208.71.123.129,TCP,54,10985 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,40.7517,-73.9972
11634,79.914238,208.71.123.129,24.6.173.220,TCP,60,"80 > 10984 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",40.7517,-73.9972,37.4404,-121.8705
11635,79.914424,24.6.173.220,208.71.123.129,TCP,54,10984 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,40.7517,-73.9972
11636,79.919213,184.73.220.117,24.6.173.220,TCP,60,"80 > 11008 [FIN, ACK] Seq=1 Ack=2 Win=5888 Len=0",39.0437,-77.4875,37.4404,-121.8705
11637,79.919383,24.6.173.220,184.73.220.117,TCP,54,11008 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,39.0437,-77.4875
11638,79.920212,50.16.204.178,24.6.173.220,TCP,60,"80 > 10988 [FIN, ACK] Seq=1 Ack=2 Win=14848 Len=0",39.0437,-77.4875,37.4404,-121.8705
11639,79.920384,24.6.173.220,50.16.204.178,TCP,54,10988 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,39.0437,-77.4875
11640,79.922836,207.171.163.14,24.6.173.220,TCP,60,"80 > 11011 [FIN, ACK] Seq=1 Ack=2 Win=8128 Len=0",47.6103,-122.3341,37.4404,-121.8705
11641,79.922959,24.6.173.220,207.171.163.14,TCP,54,11011 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,47.6103,-122.3341
11642,79.923798,216.52.121.177,24.6.173.220,TCP,60,80 > 10998 [ACK] Seq=1 Ack=2 Win=4380 Len=0,33.7516,-84.3915,37.4404,-121.8705
11643,79.923802,216.52.121.177,24.6.173.220,TCP,60,"80 > 10998 [FIN, ACK] Seq=1 Ack=2 Win=4380 Len=0",33.7516,-84.3915,37.4404,-121.8705
11644,79.923932,24.6.173.220,216.52.121.177,TCP,54,10998 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,33.7516,-84.3915
11645,79.925476,184.73.46.94,24.6.173.220,TCP,241,[TCP segment of a reassembled PDU],39.0437,-77.4875,37.4404,-121.8705
